year,international,financial_aid,SA
2023,No,No,-0.998967528
2023,No,No,-0.943452895
2022,Yes,Yes,0
2023,No,Prefer not to say,-0.999564052
2024,No,No,0
2022,No,Yes,0
2024,No,Yes,0
2022,Yes,Yes,-0.998710454
2023,No,No,0
2023,No,No,0
2022,No,Yes,0
2021,No,No,0
2023,No,No,-0.999772906
2024,No,Yes,0.835565329
2024,No,Yes,-0.998863161
2022,No,No,-0.994774938
2022,Yes,No,-0.993227959
2024,No,Yes,0.999450445
2022,No,No,-0.999682069
2024,No,Yes,0.999851286
2021,No,No,0
2023,No,Yes,0
2023,No,Yes,-0.999781489
2022,No,No,0
2021,No,Yes,0
2024,No,Yes,-0.993206561
2022,Yes,No,0
2023,No,Yes,0
2024,No,Prefer not to say,0
2023,No,No,0
2021,No,No,-0.996559262
2023,No,No,0
2022,No,Yes,0
2023,No,Yes,0
2021,No,No,0
2024,No,No,0
2024,No,No,-0.999777436
2024,No,Yes,0
2024,Yes,Yes,0.984626591
2024,No,Yes,0
2022,No,No,0
2023,No,No,-0.999752998
2022,No,No,-0.99978447
2023,No,No,0
2024,No,No,0
2024,No,Yes,-0.993739188
2023,No,Yes,0
2021,No,Yes,0
2021,No,No,0
2021,No,Prefer not to say,-0.996201873
2024,No,No,-0.994256139
Other,No,No,-0.999160171
2024,No,No,0
2024,Yes,Yes,0
2024,No,Yes,0
2023,No,Yes,-0.973016441
2024,No,Yes,0
2022,No,Yes,0
2024,No,Yes,-0.999733865
2022,No,No,0
2024,No,No,-0.999802291
2024,No,No,0
2024,No,Yes,-0.999789
2024,Yes,Yes,0.999861836
2024,No,No,0
2021,No,Yes,0
2021,No,No,0
2024,No,No,-0.99941051
2021,No,Yes,-0.997904122
2021,No,No,-0.990053713
2024,No,Yes,0
2022,No,Yes,0
2024,No,No,0
2023,No,No,0
2024,No,No,0
2024,No,Yes,-0.999334097
2024,No,Yes,0
2024,No,Yes,-0.993239522
2024,Yes,Yes,0.571796954
2022,No,Yes,0
2024,No,Yes,-0.999181032
2024,No,No,-0.999821067
2024,No,No,-0.99869132
2022,No,Yes,-0.953510344
2024,No,No,0
2024,No,No,-0.601125002
2021,No,No,0
2021,No,Yes,0.999789834
2022,No,No,0.744393587
2024,No,No,0.997942507
2024,Yes,Yes,-0.999669075
2024,No,Yes,0
2021,No,Yes,-0.998961747
2024,No,No,0
Other,Yes,No,-0.999291897
2021,No,No,0.999614179
2022,Yes,No,0
2023,No,No,-0.963663995
2024,No,Yes,-0.996241391
2024,No,No,0.972271025
2023,No,Yes,0
2024,No,No,0
2024,No,Yes,0
2023,No,Prefer not to say,0
2022,Yes,Yes,0
2021,No,Yes,0
2021,No,Yes,-0.982972622
2024,Yes,Prefer not to say,0.971681714
2024,No,No,0
2024,Yes,No,0
2022,No,No,0
2023,No,Yes,0
2023,No,Yes,0
2021,No,Yes,0
2024,No,Yes,0
2024,No,Yes,0
2024,No,No,0
2021,No,Yes,-0.99849236
2024,Yes,Yes,0
2022,No,No,0
2023,No,Yes,0
2022,No,Yes,0
2024,No,Yes,-0.995442629
2024,No,No,0.796128154
2021,Yes,No,0
2024,No,Yes,0
2023,No,Yes,0
2024,No,Yes,0
2024,Yes,Yes,0.998393059
2022,No,No,0
2024,No,No,0
2024,Yes,Yes,0
2022,No,No,0
2023,No,Yes,-0.999059796
2024,No,Yes,0
2024,No,No,-0.999755263
2024,No,Yes,-0.999818444
2024,No,No,0
2024,Yes,No,-0.995199382
